dpl,nperi,ci,pow,latency,nce,noise,category
251,3,30,252.6148505,115,4,0,4
251,3,35,262.8499649,139,4,0,3
251,3,40,268.2009594,161,4,0,3
251,3,45,216.0923923,175,4,0,2
251,3,50,201.4199048,146,3,0,3
251,3,55,177.2270982,220,4,0,2
251,3,60,187.3311879,234,4,0,3
251,3,70,122.438063,335,5,0,4
251,3,90,123.3253865,355,4,0,2
251,3,100,155.7168005,198,2,0,2
251,3,125,111.8039537,374,3,0,3
251,3,150,109.8148147,439,3,0,4
251,3,200,137.6253326,538,3,0,4
27,4,10,416.6968508,66,6,0,1
27,4,15,523.6057545,93,6,0,1
27,4,20,393.9429572,243,12,0,2
27,4,25,385.3811671,128,5,0,3
27,4,30,317.9678504,75,3,0,4
27,4,35,320.0377861,144,4,0,3
27,4,40,241.3665768,231,6,0,3
27,4,45,314.0573175,184,4,0,2
27,4,50,260.9330516,171,4,0,3
27,4,55,199.6471301,218,4,0,2
27,4,60,234.4365893,324,6,0,3
27,4,70,252.5020999,280,4,0,4
27,4,90,136.1033517,540,6,0,2
27,4,100,203.9904,385,4,0,2
27,4,125,140.9855732,485,4,0,3
27,4,150,148.9587591,410,3,0,4
27,4,200,165.8058117,492,3,0,4
27,4,250,154.3481481,500,2,0,4
27,4,270,125.6013686,743,3,0,4
27,4,300,148.3803521,745,3,0,4
64,4,10,392.1905394,85,8,0,1
64,4,15,513.4038392,79,5,0,1
64,4,20,380.6998959,240,12,0,2
64,4,25,342.7089405,258,11,0,3
64,4,30,253.2457428,121,4,0,4
64,4,35,285.777416,210,6,0,3
64,4,40,248.1823283,171,5,0,3
64,4,45,208.8594751,244,6,0,2
64,4,50,239.0441185,197,4,0,3
64,4,55,208.8464702,215,4,0,2
64,4,60,193.6436534,361,6,0,3
64,4,70,174.2966808,280,4,0,4
64,4,90,191.010216,269,3,0,2
64,4,100,149.1677232,179,2,0,2
64,4,125,168.2734727,321,3,0,3
64,4,150,181.9192243,381,3,0,4
64,4,200,141.5086481,774,4,0,4
64,4,250,99.54517932,500,2,0,4
64,4,270,109.2042659,780,3,0,4
64,4,300,145.803178,788,3,0,4
128,4,10,417.9167276,63,6,0,1
128,4,15,504.8602514,93,6,0,1
128,4,20,354.2536099,230,12,0,2
128,4,30,275.6630263,181,6,0,4
128,4,35,254.8947997,142,4,0,3
128,4,40,262.6119216,228,6,0,3
128,4,45,222.8171494,182,4,0,2
128,4,50,199.3818369,285,6,0,3
128,4,55,179.9401079,221,4,0,2
128,4,60,162.4164861,359,6,0,3
128,4,70,239.4529958,386,6,0,4
128,4,90,144.4271924,358,4,0,2
128,4,100,166.2068597,582,6,0,2
128,4,125,131.925043,314,3,0,3
128,4,150,108.5001675,409,3,0,4
